LAT,LON,RH2M
5.0,-76.25,89.17282846715328
5.0,-75.625,87.1376003649635
5.0,-75.0,84.48171532846716
5.0,-74.375,78.40714416058394
5.0,-73.75,86.58175182481753
5.0,-73.125,86.17191605839416
5.0,-72.5,77.54475364963504
5.0,-71.875,78.83883211678832
5.0,-71.25,77.21870437956204
5.0,-70.625,74.85914233576642
5.0,-70.0,75.9557299270073
5.5,-77.5,87.58019160583942
5.5,-76.875,93.58609489051095
5.5,-76.25,90.91303832116789
5.5,-75.625,87.97584854014599
5.5,-75.0,85.29818430656934
5.5,-74.375,80.72193430656935
5.5,-73.75,84.53677919708029
5.5,-73.125,87.62395072992702
5.5,-72.5,83.9357208029197
5.5,-71.875,74.78507299270073
5.5,-71.25,72.65269160583942
5.5,-70.625,71.67526459854014
5.5,-70.0,72.98391423357664
6.0,-77.5,87.39847627737225
6.0,-76.875,93.4518704379562
6.0,-76.25,91.6863594890511
6.0,-75.625,88.11621350364963
6.0,-75.0,85.58713503649635
6.0,-74.375,83.99896897810218
6.0,-73.75,83.82110401459853
6.0,-73.125,83.66595802919709
6.0,-72.5,87.45325729927008
6.0,-71.875,73.61305656934307
6.0,-71.25,69.71266423357665
6.0,-70.625,70.03986313868613
6.0,-70.0,71.27695255474453
6.5,-77.5,87.84177919708029
6.5,-76.875,92.94327554744525
6.5,-76.25,90.53865875912409
6.5,-75.625,88.1210401459854
6.5,-75.0,86.36215328467154
6.5,-74.375,85.18130474452555
6.5,-73.75,85.63604927007299
6.5,-73.125,78.27389598540147
6.5,-72.5,84.93062043795621
6.5,-71.875,76.73340328467152
6.5,-71.25,68.93259124087591
6.5,-70.625,68.9967700729927
6.5,-70.0,69.80558394160583
7.0,-77.5,89.78503649635036
7.0,-76.875,92.25735401459853
7.0,-76.25,89.74641423357664
7.0,-75.625,88.93583941605839
7.0,-75.0,87.20700729927007
7.0,-74.375,85.49244525547445
7.0,-73.75,85.37033759124087
7.0,-73.125,77.51732664233577
7.0,-72.5,84.52745437956204
7.0,-71.875,72.39968065693431
7.0,-71.25,69.30363138686131
7.5,-76.875,91.48029197080291
7.5,-76.25,89.6066697080292
7.5,-75.625,86.2836405109489
7.5,-75.0,87.04310218978102
7.5,-74.375,85.72364051094891
7.5,-73.75,80.16442518248176
7.5,-73.125,77.74681569343065
7.5,-72.5,82.45004562043796
8.0,-76.875,89.29317518248176
8.0,-76.25,88.35472627737227
8.0,-75.625,82.05522810218979
8.0,-75.0,85.08476277372262
8.0,-74.375,83.985848540146
8.0,-73.75,76.39465328467152
8.0,-73.125,76.58588503649635
8.0,-72.5,62.11966240875912
8.5,-76.875,87.03659671532847
8.5,-76.25,84.67248175182482
8.5,-75.625,79.95367700729926
8.5,-75.0,81.39947080291971
8.5,-74.375,79.46227189781021
8.5,-73.75,74.03261861313868
8.5,-73.125,70.77552919708029
8.5,-72.5,58.78106751824818
9.0,-76.875,83.73358576642335
9.0,-76.25,83.14831204379563
9.0,-75.625,78.99392335766423
9.0,-75.0,77.20506386861314
9.0,-74.375,74.22804744525547
9.0,-73.75,70.31648722627737
9.0,-73.125,67.64758211678833
9.0,-72.5,61.81818430656934
9.5,-76.875,82.96354014598539
9.5,-76.25,82.26897810218978
9.5,-75.625,77.91417883211679
9.5,-75.0,75.66249087591241
9.5,-74.375,71.83236313868613
9.5,-73.75,67.77183394160583
9.5,-73.125,69.02784671532847
9.5,-72.5,63.61866788321168
10.0,-76.875,83.31023722627738
10.0,-76.25,82.69383211678833
10.0,-75.625,77.38187043795621
10.0,-75.0,76.42375
10.0,-74.375,71.3256113138686
10.0,-73.75,66.04870437956205
10.0,-73.125,75.79152372262773
10.0,-72.5,67.35867700729926
10.5,-76.875,83.48999087591241
10.5,-76.25,83.38255474452555
10.5,-75.625,79.48030109489052
10.5,-75.0,77.96667883211678
10.5,-74.375,73.1463503649635
10.5,-73.75,75.0003102189781
10.5,-73.125,78.45905109489051
10.5,-72.5,75.3741697080292
11.0,-76.875,83.50716240875913
11.0,-76.25,83.88434306569343
11.0,-75.625,83.73052007299269
11.0,-75.0,81.18701642335766
11.0,-74.375,77.86229014598541
11.0,-73.75,80.69855839416059
11.0,-73.125,78.76824817518248
11.0,-72.5,76.73887773722628
11.5,-76.875,83.38533759124088
11.5,-76.25,83.90129562043796
11.5,-75.625,84.3756295620438
11.5,-75.0,84.45381386861314
11.5,-74.375,83.65597627737226
11.5,-73.75,84.30441605839415
11.5,-73.125,80.00629562043795
11.5,-72.5,74.8066605839416
